Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Тичина,Тереза,Петрівна,Жінка,1995-12-27,Сценарист,хутір Монастирище,"вулиця Вернидуба, буд. 21 кв. 5, Новоселиця, 40370",+380 94 827-65-91,panas38@example.com
Уманець,Гордій,Євгенович,Чоловік,1959-02-16,Слідчий,місто Радомишль,"сквер Саксаганського, буд. 731 кв. 2, Дубляни, 75286",029 118 30 09,jiarosh@example.com
Полтавець,Степан,Сергійович,Чоловік,1984-03-07,Детектив,хутір Червоноград,"провулок Юрженка Олександра, буд. 9 кв. 84, Дергачі, 57809",+380 63 029 95 16,tsiutsiuraopanas@example.net
Ґерета,Стефан,Олександрович,Чоловік,1956-12-31,Гірник,місто Знам'янка,"провулок Авангардна, буд. 5 кв. 969, Кипуче, 16534",089 826-03-57,ihorieroshenko@example.com
Притула,Климент,Іванович,Чоловік,1965-07-13,Живописець,місто Стрий,"провулок Манежна, буд. 270 кв. 69, Роздільна, 44429",811-46-27,vernyhoradaryna@example.net
Безбородько,Валентина,Михайлівна,Жінка,1983-08-27,Агроном,хутір Шепетівка,"узвіз Училищна, буд. 614 кв. 49, Костопіль, 42154",625-24-88,suprunenkoieva@example.com
Непорожній,Єва,Олександрівна,Жінка,1984-02-10,Локсмайстер,хутір Корюківка,"проспект Макарова, буд. 92 кв. 84, Тячів, 48207",042 032 97 74,orysia25@example.org
Лаба,Любов,Борисівна,Жінка,1962-06-28,М'ясник,село Ірміно,"площа Гвардійська, буд. 175 кв. 50, Бориспіль, 92384",+380 17 785-62-84,liubov89@example.org
Чорновіл,Роксолана,Дмитрівна,Жінка,1947-05-29,Співак,хутір Кролевець,"узвіз Баштанна, буд. 4, Старокостянтинів, 79225",+380 (65) 900-59-00,iryna18@example.net
Давиденко,Наталія,Григорівна,Жінка,1963-03-01,Краєзнавець,селище Городище ,"вулиця Вєтрова, буд. 212 кв. 59, Свалява, 05065",+380 88 319-39-20,hennadii02@example.com
Пушкар,Розалія,Тарасівна,Жінка,1950-11-24,Публіцист,село Костопіль,"проспект Дунаєвського 3-й, буд. 4, Зборів, 42172",533-64-36,alla00@example.com
Бандурка,Віктор,Миколайович,Чоловік,1991-08-14,Архітектор,селище Біляївка,"шосе 5-та Лінія Марії Демченко, буд. 22, Сколе, 42553",086 630-13-74,gzhuk@example.com
Гаврюшенко,Роман,Михайлович,Чоловік,2001-06-13,Географ,село Вашківці,"парк Пересипська 5-та, буд. 3 кв. 039, Монастириська, 76907",+380 30 609-45-77,venedykthaievskyi@example.org
Ващенко-Захарченко,Гаврило,Іванович,Чоловік,1953-11-23,Медик,село Щастя ,"набережна Чорноморський 3-й, буд. 6 кв. 28, Іршава, 94652",+380 62 743-17-00,skalenychenko@example.com
Єресько,Оксана,Андріївна,Жінка,1971-01-04,Модельєр,місто Токмак,"узвіз Колекційна, буд. 776, Ровеньки, 23418",+380 47 844 20 10,gvasylechko@example.org
Авраменко,Наталія,Романівна,Жінка,1976-12-01,Мінералог,село Карлівка,"проспект Лінія 53-тя, буд. 9, Ізмаїл, 62762",448-82-96,irvanetsveniiamyn@example.org
Тарасенко,Августин,Романович,Чоловік,2003-04-15,Історик,хутір Одеса,"парк Бодаревського, буд. 5, Баштанка, 93825",+380 (10) 917-36-64,bohuslava92@example.com
Джунь,Варвара,Георгіївна,Жінка,1984-02-12,Інженер,село Городок,"набережна Тимірязєва 5-й, буд. 7 кв. 88, Ірміно, 86055",022 711-68-65,spasvakarchuk@example.net
Гавриленко,Людмила,Миколаївна,Жінка,2002-02-28,Археолог,місто Андрушівка,"площа Шухевича Романа, буд. 14, Перевальськ, 90129",+380 (59) 096-13-16,iukhymsamoilenko@example.org
Забара,Аніта,Олександрівна,Жінка,1982-09-11,Флорист,хутір Родинське,"шосе Горіхова, буд. 309 кв. 4, Іловайськ, 51972",073 08 36,sbabiuk@example.org
Шаблій,Арсен,Петрович,Чоловік,1966-06-05,Етнограф,селище Мирноград,"площа Деревообробний 3-й, буд. 71, Одеса, 51254",303-68-74,rzaichenko@example.com
Сіробаба,Аніта,Максимівна,Жінка,1988-04-11,Єгер,село Трускавець,"парк 2-га Лінія Марії Демченко, буд. 000 кв. 93, Червоносів, 01316",+380 09 429-36-98,pkhrystenko@example.com
Колісниченко,Хома,Максимович,Чоловік,2002-03-18,Філолог,селище Валки ,"парк Стеценко, буд. 1 кв. 0, Лебедин, 38087",745 08 50,maksympylypenko@example.com
Ватаманюк,Василь,Григорович,Чоловік,1948-08-31,Золотар,хутір Біла Церква,"узвіз Коблевська, буд. 7 кв. 37, Корюківка, 63553",+380 43 899-50-96,nbashtan@example.org
Артеменко,Єва,Борисівна,Жінка,1975-04-18,Агроном,село Алупка,"провулок Ширяївський, буд. 50, Новодружеськ, 32540",399 41 82,okhrim95@example.com
Андрійчук,Світлана,Георгіївна,Жінка,1958-02-15,Письменник,хутір Валки ,"парк Бісквітний, буд. 5 кв. 83, Київ, 66487",279 09 05,haidaiiustym@example.net
Рубець,Миколай,Дмитрович,Чоловік,2003-05-08,Парфюмер,хутір Хмільник,"узвіз Світлий, буд. 53, Зугрес, 93300",006 988-83-07,adarahan@example.net
Теліженко,Семен,Максимович,Чоловік,1979-01-04,Намотувальник,село Перещепине,"шосе Восьмого березня узвіз, буд. 321, Сорокине, 08707",+380 07 230 14 27,panas75@example.com
Дзюба,Світлана,Олегівна,Жінка,1970-01-22,Маркетолог,хутір Довжанськ,"узвіз Вапняний 3-й, буд. 782, Попасна, 75697",+380 46 990-09-24,avreliihunko@example.com
Негода,Теодор,Михайлович,Чоловік,2000-03-31,Паблік рилейшнз,село Миронівка,"набережна Леваневського, буд. 7, Тараща, 52353",080 208 88 95,arubets@example.org
Кармалюк,Остап,Євгенович,Чоловік,2005-02-23,Футболіст,місто Покровськ,"площа Просьолочна, буд. 52 кв. 09, Ватутіне, 22520",+380 08 496-58-38,lesiarosh@example.org
Захарченко,Надія,Євгенівна,Жінка,1965-05-09,Гицель,село Новомиргород,"проспект Овідіопольська дорога, буд. 53, Волочиськ, 01644",+380 29 533-21-46,niermolenko@example.org
Жук,Артем,Сергійович,Чоловік,2008-09-25,Державний службовець,хутір Вилкове,"шосе Іванова, буд. 976, Заводське, 90049",025 056 43 29,khaidenko@example.org
Байрак,Едита,Романівна,Жінка,1951-10-19,Доцент,селище Гола Пристань,"парк Гвоздична, буд. 00, Болехів, 07738",+380 85 892-11-73,amaliialemeshko@example.org
Примаченко,Марта,Іванівна,Жінка,1973-11-11,Стоматолог,село Новоселиця,"провулок Дорбуду, буд. 1, Почаїв, 89544",+380 68 109-48-81,irynaprotsenko@example.org
Зубко,Тетяна,Олександрівна,Жінка,2008-05-05,Головний меркшейдер,місто Долина ,"провулок Кристаловського, буд. 0 кв. 9, Верхівцеве, 80564",+380 85 120-02-97,mariiabaranyk@example.org
Яремків,Лілія,Володимирівна,Жінка,1951-02-06,Візажист,місто Павлоград,"парк Новощіпний ряд, буд. 5, Коростень, 37306",+380 13 848-26-65,stykha@example.org
Даценко,Анжела,Максимівна,Жінка,1954-02-06,Астрофізик,хутір Євпаторія,"вулиця Люстдорфська дорога, буд. 86 кв. 16, Долинська, 95392",+380 10 389-41-03,vadymdanchuk@example.com
Сич,Ірина,Тарасівна,Жінка,1959-08-07,Краєзнавець,хутір Червоносів,"шосе Привокзальний, буд. 0 кв. 271, Буринь, 18625",814 80 73,iukhym44@example.com
Шеремета,Алла,Сергіївна,Жінка,1995-08-21,Фотограф,село Костянтинівка,"парк Посмітного, буд. 59 кв. 922, Фастів, 43857",+380 84 022-53-75,iarynariabovil@example.net
Дробаха,Марʼяна,Петрівна,Жінка,1998-10-09,Ветеринар,хутір Нова Одеса,"провулок Аеродромний 1-й, буд. 0, Луганськ, 16878",090 546-20-22,kyrylozinkevych@example.org
